"Date","Egypt, RETAIL, National Average, Wheat (flour), USD/Kg","Somalia, RETAIL, Mogadishu, Wheat, USD/Kg","Somalia, RETAIL, Mogadishu, Wheat (flour), USD/Kg","Sudan, WHOLESALE, Al-Fashir, Wheat, USD/Kg","Sudan, WHOLESALE, Dongola, Wheat, USD/Kg","Sudan, WHOLESALE, Kadugli, Wheat, USD/Kg","Sudan, WHOLESALE, Khartoum, Wheat, USD/Kg"
"12/01/2022","","","","1.15665","0.5783799999999999","","0.57189"
"11/01/2022","","1.02","0.66","1.00507","0.53152","","0.56375"
"10/01/2022","0.65","0.88","0.73","1.05941","0.7777","0.99825","0.6196299999999999"
"09/01/2022","0.65","0.82","0.75","0.99066","0.7885899999999999","1.15412","0.70048"
"08/01/2022","0.64","0.83","0.67","1.49402","0.96382","1.44573","0.9197099999999999"
"07/01/2022","0.63","0.83","0.58","1.36587","0.96415","1.2172599999999998","0.87736"
"06/01/2022","0.63","0.76","0.55","1.1573099999999998","0.96437","1.32605","0.85591"
"05/01/2022","0.62","0.68","0.6","1.4624499999999998","0.8530499999999999","1.26742","0.93841"
"04/01/2022","0.66","0.68","0.6","1.3584999999999998","1.2294699999999998","1.16798",""
"03/01/2022","0.67","0.66","0.59","1.4455099999999999","0.86108","0.89804","0.95128"
"02/01/2022","0.56","0.48","0.46","1.2313399999999999","0.81257","0.81675","0.8334699999999999"
"01/01/2022","0.56","0.48","0.47","1.21286","0.8842899999999999","0.75801","0.75801"
"12/01/2021","0.55","0.51","0.46","1.25246","0.72116","0.6680299999999999","0.78155"
"11/01/2021","0.54","0.52","0.45","1.16215","0.66319","0.50523",""
"10/01/2021","0.51","0.49","0.48","0.9996799999999999","0.46529999999999994","0.47156999999999993","0.61622"
"09/01/2021","0.5","0.57","0.45","","0.45089","0.42580999999999997","0.53383"
"08/01/2021","0.5","0.56","0.45","0.70763","0.3702599999999999","0.41964999999999997","0.46749999999999997"
"07/01/2021","0.49","0.56","0.45","0.63767","0.38016","0.39248","0.38510999999999995"
"06/01/2021","0.49","0.51","0.41","0.63272","0.35431","0.40491","0.40491"
"05/01/2021","0.49","","","0.5681499999999999","0.43285","0.40579","0.40732999999999997"
"04/01/2021","0.49","","","0.57607","0.44649","0.41481",""
"03/01/2021","0.49","","","0.50303","0.42800999999999995","0.39181999999999995",""
"02/01/2021","0.49","","","1.12475","0.8013499999999999","0.95612",""
"01/01/2021","0.43","","","2.62504","1.9000299999999999","2.1999999999999997",""
"12/01/2020","0.43","","","2.78685","1.7915699999999999","1.8910099999999999",""
"11/01/2020","0.42","","","2.6843299999999997","1.6305299999999998","1.8442599999999998",""
"10/01/2020","0.42","","","1.96999","1.64164","1.5520999999999998",""
"09/01/2020","0.42","","","1.62668","1.02498","1.18668","1.0999999999999999"
"08/01/2020","0.42","0.47","0.38","1.5999499999999998","0.8750499999999999","1.30999","0.8799999999999999"
"07/01/2020","0.41","0.5","0.37","1.9000299999999999","0.80003","1.2850199999999998","0.8175199999999999"
"06/01/2020","0.41","0.48","0.37","1.9000299999999999","0.9000199999999998","1.14499","0.71005"
"05/01/2020","0.42","0.5","0.39","1.8466799999999999","0.9000199999999998","0.9933","0.7632899999999999"
"04/01/2020","0.42","0.56","0.39","1.5800399999999997","0.9000199999999998","0.82005","0.80399"
"03/01/2020","0.43","0.53","0.4","1.17502","0.64999","0.7900199999999998","0.77253"
"02/01/2020","0.43","0.51","0.4","0.9840599999999998","0.63833","0.8085","0.72336"
"01/01/2020","0.42","0.59","0.39","0.83149","0.6335999999999999","0.7935399999999999","0.7531699999999999"
"12/01/2019","0.42","0.64","0.39","0.85349","0.6096199999999999","0.8047599999999999","0.6402"
"11/01/2019","0.41","0.61","0.4","0.8410599999999999","0.6095099999999999","0.8045399999999999","0.59576"
"10/01/2019","0.47","0.56","0.41","0.7903499999999999","0.61116","0.7944199999999999","0.59037"
"09/01/2019","0.47","0.54","0.41","0.7272099999999999","0.58058","0.7415099999999999","0.55308"
"08/01/2019","0.46","0.54","0.4","0.7699999999999999","0.41558","0.7027899999999999","0.5775"
"07/01/2019","0.46","0.53","0.41","0.73337","0.42779","0.65186","0.50358"
"06/01/2019","0.47","0.52","0.41","0.73337","0.46441999999999994","0.62942","0.48883999999999994"
"05/01/2019","0.46","0.58","0.43","0.75779","0.484","0.59642","0.43021"
"04/01/2019","0.44","0.64","0.43","0.70653","0.49456","0.58883","0.40479999999999994"
"03/01/2019","0.44","0.6","0.42","0.6407499999999999","0.56738","0.67738","0.43999999999999995"
"02/01/2019","0.43","0.63","0.42","0.68706","0.59631","0.57893","0.44725999999999994"
"01/01/2019","0.42","0.6","0.42","0.6947599999999999","0.6947599999999999","0.5558299999999999","0.48168999999999995"
"12/01/2018","0.41","0.57","0.38","0.57893","0.5975199999999999","0.48630999999999996","0.50171"
"11/01/2018","0.41","0.54","0.37","0.47475999999999996","0.41679","0.46320999999999996","0.40645000000000003"
"10/01/2018","0.4","0.55","0.37","0.50611","0.44406999999999996","0.49631999999999993","0.41953999999999997"
"09/01/2018","0.41","0.54","0.37","1.2374999999999998","1.03884","1.03884","0.9700899999999999"
"08/01/2018","0.39","0.53","0.38","1.2527899999999998","","0.9777899999999999","1.00837"
"07/01/2018","0.39","0.53","0.39","0.91663","","","0.78221"
"06/01/2018","0.39","0.56","0.43","0.9777899999999999","","","0.72875"
"05/01/2018","0.39","0.57","0.42","0.91663","","0.77407","0.6526299999999999"
"04/01/2018","0.39","0.57","0.45","0.8759299999999999","","0.67221","0.61259"
"03/01/2018","0.39","0.59","0.43","0.9777899999999999","","0.67221","0.5499999999999999"
"02/01/2018","0.39","0.6","0.44","1.0999999999999999","0.7027899999999999","0.6416299999999999","0.71423"
"01/01/2018","0.39","0.59","0.43","1.3451899999999999","1.16743","0.9136599999999999","1.01519"
"12/01/2017","0.39","0.59","0.43","1.7693499999999998","1.111","1.2508099999999998","1.28172"
"11/01/2017","0.39","0.56","0.43","1.53065","0.90519","1.2124199999999998","1.04786"
"10/01/2017","0.39","0.53","0.46","1.3167","0.90519","1.2344199999999999","0.92444"
"09/01/2017","0.39","0.63","0.49","1.42648","0.7900199999999998","1.20692","0.9957199999999999"
"08/01/2017","0.39","0.61","0.46","1.54715","0.7900199999999998","1.01497","0.9340099999999999"
"07/01/2017","0.39","0.64","0.41","1.3372699999999997","0.7406299999999999","0.9874699999999998","0.7900199999999998"
"06/01/2017","0.38","0.64","0.41","1.3167","0.7406299999999999","0.9874699999999998","0.7612"
"05/01/2017","0.38","0.66","0.42","1.42857","","0.9874699999999998","0.7591100000000001"
"04/01/2017","0.38","0.64","0.43","1.5224","0.7817699999999999","1.0259699999999998","0.75713"
"03/01/2017","0.39","0.62","0.45","1.64582","0.9874699999999998","1.02806","0.8163099999999999"
"02/01/2017","0.41","0.6","0.49","1.3249499999999999","0.82291","0.92994","0.8970499999999999"
"01/01/2017","0.37","0.53","0.48","1.26324","0.68024","0.83941","0.8065199999999999"
"12/01/2016","0.32","0.47","0.49","1.24355","0.6677","0.85371","0.7194"
"11/01/2016","0.31","0.44","0.48","1.4384700000000001","0.67694","0.90255","0.67485"
"10/01/2016","0.5","0.45","0.48","1.4102","0.6176499999999999","0.8799999999999999","0.6895899999999999"
"09/01/2016","0.44","0.47","0.48","1.59423","0.53141","0.94765","0.6842"
"08/01/2016","0.44","0.46","0.48","1.62558","0.64427","0.8865999999999998","0.7044400000000001"
"07/01/2016","0.44","0.47","0.51","1.2492699999999999","0.69091","0.7305099999999999","0.64427"
"06/01/2016","0.44","0.48","0.52","1.29822","0.66836","0.57046","0.65923"
"05/01/2016","0.44","0.46","0.5","1.24179","0.65021","0.53284","0.67958"
"04/01/2016","0.44","0.41","0.47","1.1981199999999999","0.6863999999999999","0.6742999999999999","0.6833199999999999"
"03/01/2016","0.47","0.48","0.52","1.144","0.7826500000000001","0.52382","0.73337"
"02/01/2016","0.5","0.48","0.54","1.02355","0.75867","0.57035","0.87824"
"01/01/2016","0.5","0.52","0.55","1.29448","0.57805","0.65021","0.74954"
"12/01/2015","0.5","0.5","0.55","0.97053","0.57783","0.81246","0.68794"
"11/01/2015","0.5","0.51","0.57","1.309","0.6590099999999999","0.81246","0.67485"
"10/01/2015","0.5","0.52","0.57","1.2380499999999999","0.68607","0.63195","0.65538"
"09/01/2015","0.51","0.59","0.59","1.21935","0.67529","0.6680299999999999","0.63195"
"08/01/2015","0.56","0.61","0.54","1.02916","0.58685","0.54164","0.60786"
"07/01/2015","0.51","0.58","0.56","1.12805","0.59444","0.66638","0.59807"
"06/01/2015","0.53","0.59","0.57","1.08977","0.6446","0.7809999999999999","0.6239199999999999"
"05/01/2015","0.53","0.58","0.57","1.10517","0.69531","0.6446","0.6446"
"04/01/2015","0.54","0.56","0.56","1.10517","0.74591","0.6446","0.64922"
"03/01/2015","","0.56","0.57","0.98219","0.76901","","0.58707"
"02/01/2015","0.53","0.5","0.58","1.09362","0.8288499999999999","0.6446","0.61699"
"01/01/2015","0.58","0.51","0.59","1.24322","0.8288499999999999","0.92092","0.6999299999999999"
"12/01/2014","","0.48","0.67","1.21561","0.7736299999999999","0.92092","0.70917"
"11/01/2014","","0.49","0.69","1.2187999999999999","0.77495","0.93753","0.7288600000000001"
"10/01/2014","","0.49","0.65","1.19746","0.76637","0.65142","0.79992"
"09/01/2014","","0.51","0.58","1.12398","0.74932","1.0043","0.8465599999999999"
"08/01/2014","","0.5","0.6","1.23112","0.70488","1.04291","0.8135599999999998"
"07/01/2014","","0.49","0.61","1.2393699999999999","0.7531699999999999","0.50215","0.6759499999999999"
"06/01/2014","","0.44","0.61","1.20703","0.7016899999999999","0.48279","0.6517499999999999"
"05/01/2014","","0.38","0.61","1.08636","0.62766","0.52789","0.64504"
"04/01/2014","","0.38","0.6","1.04291","0.67353","0.56485","0.6325"
"03/01/2014","","0.46","0.65","1.02355","0.74349","0.6373399999999999","0.6083"
"02/01/2014","","0.39","0.64","0.8658099999999999","0.86911","0.44418","0.72908"
"01/01/2014","","0.37","0.61","0.7845199999999999","0.6952","0.47641","0.7030099999999999"
"12/01/2013","","0.36","0.6","0.7729699999999999","0.68541","0.42591999999999997","0.61952"
"11/01/2013","","0.36","0.59","0.72358","0.5730999999999999","0.32912","0.53823"
"10/01/2013","","0.35","0.59","0.47993","0.5357","0.37333999999999995","0.54791"
"09/01/2013","","0.36","0.61","0.92103","0.6172099999999999","0.50457","0.63657"
"08/01/2013","","0.38","0.61","0.64097","0.60654","0.40018","0.69278"
"07/01/2013","","0.36","0.63","0.7565799999999999","0.61776","0.40018","0.62029"
"06/01/2013","","0.42","0.61","0.5488999999999999","0.5582499999999999","0.45737999999999995","0.5979599999999999"
"05/01/2013","","0.39","0.61","0.48960999999999993","0.59048","0.44406999999999996","0.6012599999999999"
"04/01/2013","","0.43","0.58","0.44077","0.58377","0.42416","0.57387"
"03/01/2013","","0.47","0.67","0.42206999999999995","0.52756","0.42206999999999995","0.5544"
"02/01/2013","","0.42","0.61","0.41888","0.49027","0.4005099999999999","0.52129"
"01/01/2013","","0.36","0.6","0.38477999999999996","0.46541","0.40216","0.50886"
"12/01/2012","","0.37","0.61","0.44187","0.45308999999999994","0.43933999999999995","0.47585999999999995"
"11/01/2012","","0.39","0.64","0.39919","0.44286","0.46518999999999994","0.50149"
"10/01/2012","","0.51","0.77","0.35761","0.44286","0.41689999999999994","0.48333999999999994"
"09/01/2012","","0.52","0.62","0.59873","0.45529","0.41602","0.46981"
"08/01/2012","","0.53","0.6","1.0228899999999999","0.44913","0.4477","0.49268999999999996"
"07/01/2012","","0.53","0.58","0.9517199999999999","0.42966","0.47959999999999997","0.47464999999999996"
"06/01/2012","","0.38","0.54","1.29294","0.6191899999999999","0.69245","0.58278"
"05/01/2012","","0.37","0.55","","0.65747","0.7735199999999999","0.7005899999999999"
"04/01/2012","","0.4","0.55","1.4792799999999997","0.72941","0.7122499999999999","0.67804"
"03/01/2012","","0.43","0.58","1.4792799999999997","0.8218099999999999","0.7396399999999999","0.62667"
"02/01/2012","","0.51","0.55","0.8187300000000001","0.78078","0.7396399999999999","0.6522999999999999"
"01/01/2012","","0.44","0.55","0.97394","0.82434","0.7478899999999999","0.715"
"12/01/2011","","0.43","0.54","","0.7951900000000001","0.7561399999999999","0.74382"
"11/01/2011","","0.88","0.57","","0.7396399999999999","","0.6882699999999999"
"10/01/2011","","0.48","0.62","","0.72424","","0.61644"
"09/01/2011","","0.62","0.69","","0.7088399999999999","0.51777","0.6567"
"08/01/2011","","0.58","0.77","","0.70268","0.6287599999999999","0.65747"
"07/01/2011","","0.56","0.72","","0.6546099999999999","0.51777","0.5752999999999999"
"06/01/2011","","0.61","0.68","","0.638","","0.6287599999999999"
"05/01/2011","","0.59","0.66","","0.6287599999999999","","0.5752999999999999"
"04/01/2011","","0.56","0.61","","0.62612","0.71819","0.58927"
"03/01/2011","","0.61","0.63","0.37960999999999995","0.6762799999999999","","0.55363"
"02/01/2011","","0.55","0.59","0.39225999999999994","0.6718799999999999","0.8236799999999999","0.67485"
"01/01/2011","","0.52","0.57","0.3949","0.65164","0.78991","0.68893"
"12/01/2010","","0.37","0.56","0.35849000000000003","0.56958","0.59741","0.59741"
"11/01/2010","","0.42","0.53","0.57794","0.5855299999999999","","0.5755199999999999"
"10/01/2010","","0.33","0.57","0.6954199999999999","0.55495","","0.50996"
"09/01/2010","","0.32","0.54","0.70928","0.47981999999999997","","0.55638"
"08/01/2010","","0.29","0.49","0.79508","0.42558999999999997","0.60269","0.51689"
"07/01/2010","","0.31","0.5","0.88154","0.46397999999999995","","0.47783999999999993"
"06/01/2010","","0.28","0.51","0.7357899999999999","0.47475999999999996","","0.55308"
"05/01/2010","","0.31","0.48","0.59158","0.48312","","0.64086"
"04/01/2010","","0.28","0.44","0.6902499999999999","0.47333","0.8184","0.59158"
"03/01/2010","","0.33","0.51","0.4727799999999999","0.47035999999999994","","0.59092"
"02/01/2010","","0.35","0.43","0.46497","0.46497","","0.58729"
"01/01/2010","","0.3","0.48","0.4521","0.4668399999999999","","0.56507"
"12/01/2009","","0.31","0.45","0.39292","0.45672","","0.54021"
"11/01/2009","","0.39","0.56","0.52855","0.42085999999999996","","0.48939"
"10/01/2009","","0.28","0.43","0.6754","0.4303199999999999","","0.50028"
"09/01/2009","","0.3","0.51","0.68123","0.37322999999999995","0.5692499999999999","0.48994"
"08/01/2009","","0.26","0.57","0.6055499999999999","","","0.4037"
"07/01/2009","","0.24","0.55","0.66693","","","0.40479999999999994"
"06/01/2009","","0.32","0.54","0.31063999999999997","0.38477999999999996","0.5331699999999999","0.41723"
"05/01/2009","","0.56","0.52","0.36421","0.38752999999999993","0.8404","0.41085"
"04/01/2009","","","0.5","0.47773","0.45408","0.68585","0.4257"
"03/01/2009","","0.36","0.57","0.38368","0.47343999999999997","0.8222499999999999","0.39864"
"02/01/2009","","","0.57","0.29853999999999997","0.49918","0.73403","0.47475999999999996"
"01/01/2009","","","0.52","0.5941099999999999","0.50996","0.8912199999999999","0.48521"
"12/01/2008","","","0.49","0.57629","0.5662799999999999","0.7516299999999999","0.5862999999999999"
"11/01/2008","","","0.64","0.54769","0.59741","0.74679","0.56265"
"10/01/2008","","","0.73","","0.63393","1.0314699999999999","0.52833"
"09/01/2008","","","0.72","","0.68123","1.0166199999999999","0.66055"
"08/01/2008","","","0.91","0.63437","0.7507499999999999","1.05732","0.74019"
"07/01/2008","","","0.93","0.5320699999999999","0.6545","0.9577699999999999","0.7449199999999999"
"06/01/2008","","","1.08","0.45441","0.61479","0.64152","0.59873"
"05/01/2008","","","0.91","0.44814","0.57222","0.48586999999999997","0.63701"
"04/01/2008","","","0.77","0.42833999999999994","0.56397","0.97603","0.7591100000000001"
"03/01/2008","","","1.12","0.43416999999999994","0.68387","0.9770199999999999","0.6675899999999999"
"02/01/2008","","","0.67","0.43692","","0.49148","0.7263299999999999"
"01/01/2008","","","0.73","0.40304","","0.64493","0.67177"
"12/01/2007","","","0.67","0.41106999999999994","","0.81136","0.53548"
"11/01/2007","","","0.76","0.32493999999999995","","0.6498799999999999","0.54153"
"10/01/2007","","","0.62","0.28412999999999994","","0.64339","0.53614"
"09/01/2007","","","0.64","0.25509","0.48839999999999995","0.48839999999999995","0.46134"
"08/01/2007","","","0.55","0.24684","0.35650999999999994","0.49356999999999995","0.46618"
"07/01/2007","","","0.47","0.20844999999999997","0.32912","0.49368","0.46629"
"06/01/2007","","","0.48","0.22759000000000001","0.40216","0.32912","0.32175"
"05/01/2007","","","0.46","0.22759000000000001","0.40216","0.30162","0.32175"
"04/01/2007","","","0.6","0.22769999999999999","0.40226999999999996","0.30173","0.32186"
"03/01/2007","","","0.63","0.24134","0.42052999999999996","0.27423","0.3702599999999999"
"02/01/2007","","","0.41","0.23220999999999997","0.41008","0.32889999999999997","0.38368"
"01/01/2007","","","0.42","0.20448999999999998","0.41041","0.32824","0.38983999999999996"
"12/01/2006","","","0.56","0.20371999999999998","","0.32593","0.35309999999999997"
"11/01/2006","","","0.51","0.16521999999999998","","0.32241","0.29557"
"10/01/2006","","0.36","0.5","0.15982999999999997","","0.34485","0.3580499999999999"
"09/01/2006","","0.28","0.38","0.16093","","0.31394","0.37114"
"08/01/2006","","","0.45","0.17512","","0.31009","0.28424"
"07/01/2006","","0.27","0.38","0.17082999999999998","","0.30590999999999996","0.31449"
"06/01/2006","","0.28","0.39","0.16324","","0.32637","0.32637"
"05/01/2006","","0.29","0.41","0.18469","","0.29755","0.3278"
"04/01/2006","","","0.4","0.18875999999999998","","0.33087999999999995","0.32922999999999997"
"03/01/2006","","0.29","0.41","0.18403","","0.33902","0.33737"
"02/01/2006","","","0.35","0.16401","","0.35925999999999997","0.33451"
"01/01/2006","","","0.36","0.16235999999999998","","","0.33418"
"12/01/2005","","","0.36","","0.4411","","0.41931999999999997"
"11/01/2005","","","0.38","","0.44978999999999997","","0.37883999999999995"
"10/01/2005","","0.24","0.39","","0.44802999999999993","","0.43868"
"09/01/2005","","0.25","0.4","","0.42372","","0.48091999999999996"
"08/01/2005","","0.22","0.45","","0.41943","","0.48256999999999994"
"07/01/2005","","0.26","0.5","","0.41425999999999996","","0.43285"
"06/01/2005","","0.21","0.4","","0.41129","","0.40831999999999996"
"05/01/2005","","0.17","0.35","","0.38664999999999994","","0.40304"
"04/01/2005","","0.25","0.38","","0.35299","","0.40160999999999997"
"03/01/2005","","0.24","0.39","","0.46266","","0.37268"
"02/01/2005","","0.27","0.37","","0.4477","","0.47894"
"01/01/2005","","0.25","0.34","","0.43362","","0.4609"
"12/01/2004","","0.27","0.37","","","","0.37795999999999996"
"11/01/2004","","0.27","0.38","","","","0.36541999999999997"
"10/01/2004","","0.27","0.47","","","","0.36750999999999995"
"09/01/2004","","0.29","0.4","","","","0.36651999999999996"
"08/01/2004","","0.28","0.41","","","","0.36233999999999994"
"07/01/2004","","0.24","0.36","","","","0.3212"
"06/01/2004","","0.23","0.34","","","","0.30833"
"05/01/2004","","0.22","0.36","","","","0.31162999999999996"
"04/01/2004","","0.22","0.35","","","","0.30645999999999995"
"03/01/2004","","0.23","0.34","","","","0.31690999999999997"
"02/01/2004","","0.23","0.33","","","","0.34165999999999996"
"01/01/2004","","0.22","0.32","","","","0.30998"
"12/01/2003","","0.28","0.41","","","","0.30206"
"11/01/2003","","0.27","0.41","","0.34440999999999994","","0.3091"
"10/01/2003","","0.21","0.31","","0.31548","","0.31800999999999996"
"09/01/2003","","0.21","0.32","","0.29347999999999996","","0.30965"
"08/01/2003","","0.22","0.31","","0.30349","","0.31559"
"07/01/2003","","0.23","0.33","","0.27203","","0.28512"
"06/01/2003","","0.23","0.32","","0.27423","","0.26158"
"05/01/2003","","0.2","0.26","","0.23187999999999998","","0.28281"
"04/01/2003","","0.21","0.24","","0.2739","","0.30426"
"03/01/2003","","0.22","0.27","","0.31592","","0.32549"
"02/01/2003","","0.2","0.26","","0.25685","","0.34661"
"01/01/2003","","","0.29","","0.2607","","0.32769"
"12/01/2002","","0.21","0.26","","","","0.28468"
"11/01/2002","","","0.27","","","","0.2662"
"10/01/2002","","","0.29","","","","0.25333"
"09/01/2002","","0.25","0.28","","","","0.24298999999999998"
"08/01/2002","","0.24","0.27","","0.187","","0.23682999999999998"
"07/01/2002","","0.24","0.27","","0.18722","","0.21978"
"06/01/2002","","0.24","0.27","","","","0.20251"
"05/01/2002","","0.25","0.25","","","","0.20679999999999998"
"04/01/2002","","0.25","0.24","","0.25145999999999996","","0.21647999999999998"
"03/01/2002","","0.24","0.25","","0.22769999999999999","","0.24871"
"02/01/2002","","0.22","0.24","","0.23121999999999998","","0.24805"
"01/01/2002","","0.21","0.25","","0.22935","","0.23958"
"12/01/2001","","0.27","0.27","","0.24409","","0.24871"
"11/01/2001","","0.22","0.27","","0.23254","","0.26059"
"10/01/2001","","0.21","0.28","","0.21416999999999997","","0.27357"
"09/01/2001","","0.13","0.27","","0.23418999999999998","","0.27511"
"08/01/2001","","0.14","0.29","","0.26388999999999996","","0.28226"
"07/01/2001","","0.14","0.35","","0.23748999999999998","","0.2706"
"06/01/2001","","0.15","0.35","","","","0.23958"
"05/01/2001","","0.14","0.25","","","","0.24023999999999998"
"04/01/2001","","","0.25","","","","0.18391999999999997"
"03/01/2001","","0.24","0.35","","","","0.27049"
"02/01/2001","","","0.25","","","","0.3465"
"01/01/2001","","","0.25","","","","0.34825999999999996"
"12/01/2000","","","0.27","","","",""
"11/01/2000","","","","","","",""
"10/01/2000","","","","","","",""
"09/01/2000","","","","","","",""
"08/01/2000","","","","","","",""
"07/01/2000","","","","","","",""
"06/01/2000","","","","","","",""
"05/01/2000","","","","","","",""
"04/01/2000","","","","","","",""
"03/01/2000","","","","","","",""
"02/01/2000","","","","","","",""
"01/01/2000","","","","","","",""
"12/01/1999","","","","","","",""
"11/01/1999","","","","","","",""
"10/01/1999","","","","","","",""
"09/01/1999","","","","","","",""
"08/01/1999","","","","","","",""
"07/01/1999","","","","","","",""
"06/01/1999","","","","","","",""
"05/01/1999","","","","","","",""
"04/01/1999","","","","","","",""
"03/01/1999","","","","","","",""
"02/01/1999","","","","","","",""
"01/01/1999","","","","","","",""
"12/01/1998","","","","","","",""
"11/01/1998","","","","","","",""
"10/01/1998","","","","","","",""
"09/01/1998","","","","","","",""
"08/01/1998","","","","","","",""
"07/01/1998","","","","","","",""
"06/01/1998","","","","","","",""
"05/01/1998","","","","","","",""
"04/01/1998","","","","","","",""
"03/01/1998","","","","","","",""
"02/01/1998","","","","","","",""
"01/01/1998","","","","","","",""
"12/01/1997","","","","","","",""
"11/01/1997","","","","","","",""
"10/01/1997","","","","","","",""
"09/01/1997","","","","","","",""
"08/01/1997","","","","","","",""
"07/01/1997","","","","","","",""
"06/01/1997","","","","","","",""
"05/01/1997","","","","","","",""
"04/01/1997","","","","","","",""
"03/01/1997","","","","","","",""
"02/01/1997","","","","","","",""
"01/01/1997","","","","","","",""
"12/01/1996","","","","","","",""
"11/01/1996","","","","","","",""
"10/01/1996","","","","","","",""
"09/01/1996","","","","","","",""
"08/01/1996","","","","","","",""
"07/01/1996","","","","","","",""
"06/01/1996","","","","","","",""
"05/01/1996","","","","","","",""
"04/01/1996","","","","","","",""
"03/01/1996","","","","","","",""
"02/01/1996","","","","","","",""
"01/01/1996","","","","","","",""
"12/01/1995","","","","","","",""
"11/01/1995","","","","","","",""
"10/01/1995","","","","","","",""
"09/01/1995","","","","","","",""
"08/01/1995","","","","","","",""
"07/01/1995","","","","","","",""
"06/01/1995","","","","","","",""
"05/01/1995","","","","","","",""
"04/01/1995","","","","","","",""
"03/01/1995","","","","","","",""
"02/01/1995","","","","","","",""